date,asset_code,open,high,low,close,volume,turnover,GC001_avg,GC001_close
2023-08-10,511260.SH,122.84,122.845,122.789,122.819,379414057,62.9695,1.672,1.62
2023-08-11,511260.SH,122.82,122.841,122.797,122.836,379379167,62.9553,1.719,1.725
2023-08-14,511260.SH,122.881,122.967,122.879,122.949,391459753,64.8996,1.846,1.87
2023-08-15,511260.SH,122.965,123.3,122.965,123.279,303398955,50.1722,1.931,1.95
2023-08-16,511260.SH,123.329,123.55,123.329,123.475,354834396,58.5876,1.997,1.99
2023-08-17,511260.SH,123.483,123.573,123.387,123.465,413739214,68.2972,1.948,1.865
2023-08-18,511260.SH,123.415,123.56,123.33,123.54,280974032,44.5452,1.972,1.92
2023-08-21,511260.SH,123.59,123.845,123.571,123.819,327412751,51.832,1.976,1.94
2023-08-22,511260.SH,123.819,123.848,123.653,123.675,293295052,46.4271,1.963,1.935
2023-08-23,511260.SH,123.669,123.779,123.63,123.663,416474786,63.4637,1.949,1.93
2023-08-24,511260.SH,123.652,123.675,123.591,123.636,559307506,85.2634,1.875,1.825
2023-08-25,511260.SH,123.652,123.692,123.56,123.579,334168780,50.9375,2.019,2.06
2023-08-28,511260.SH,123.202,123.497,122.56,123.491,674957381,103.0434,2.2,2.175
2023-08-29,511260.SH,123.491,123.492,123.216,123.271,344208555,52.6298,2.429,2.415
2023-08-30,511260.SH,123.271,123.384,123.183,123.342,388989248,59.4354,3.937,3.625
2023-08-31,511260.SH,123.38,123.439,123.368,123.427,336651822,51.4049,2.231,1.975
2023-09-01,511260.SH,123.423,123.423,123.264,123.304,266426999,40.776,1.936,1.885
2023-09-04,511260.SH,123.101,123.17,122.92,122.942,342145710,52.4112,1.859,1.825
2023-09-05,511260.SH,122.992,123.018,122.945,123.012,309936330,47.4908,1.79,1.755
2023-09-06,511260.SH,123.05,123.069,122.865,122.869,287004796,43.9991,1.881,1.93
2023-09-07,511260.SH,122.869,122.877,122.751,122.76,284830536,43.7067,1.993,1.98
2023-09-08,511260.SH,122.8,122.891,122.751,122.848,371188653,55.9197,2.07,2.04
2023-09-11,511260.SH,122.821,122.844,122.73,122.835,333883376,50.2912,2.032,2
2023-09-12,511260.SH,122.911,122.92,122.83,122.866,351338771,52.89,1.949,1.905
2023-09-13,511260.SH,122.856,123.05,122.841,122.98,432882811,65.1124,1.883,1.865
2023-09-14,511260.SH,122.97,123.12,122.951,123.109,306308243,45.2174,1.912,1.875
2023-09-15,511260.SH,123.112,123.139,122.922,122.971,323882419,47.8161,1.932,1.93
2023-09-18,511260.SH,122.922,122.95,122.741,122.79,367596024,54.3685,2.06,2.055
2023-09-19,511260.SH,122.795,122.839,122.77,122.796,413245424,61.1041,2.131,2.115
2023-09-20,511260.SH,122.8,122.834,122.745,122.766,295533029,43.7156,2.136,2.11
2023-09-21,511260.SH,122.772,122.841,122.744,122.798,367383891,54.3176,2.102,2.035
2023-09-22,511260.SH,122.847,122.85,122.631,122.635,373735461,55.3037,2.198,2.2
2023-09-25,511260.SH,122.635,122.685,122.438,122.48,316997583,46.9609,2.546,2.54
2023-09-26,511260.SH,122.48,122.48,122.22,122.389,139980523,20.7754,3.801,3.98
2023-09-27,511260.SH,122.38,122.429,122.282,122.376,60462640,8.9746,4.929,4.525
2023-09-28,511260.SH,122.5,122.735,122.495,122.689,317891040,47.0517,3.917,3.9
2023-10-09,511260.SH,122.706,122.82,122.706,122.72,354764278,55.4922,2.765,2.995
2023-10-10,511260.SH,122.729,122.81,122.709,122.738,289647488,45.326,2.285,2.155
2023-10-11,511260.SH,122.689,122.75,122.52,122.525,291305140,45.6506,2.079,2.005
2023-10-12,511260.SH,122.4,122.588,122.352,122.552,253770288,39.7868,1.962,1.9
2023-10-13,511260.SH,122.602,122.742,122.542,122.703,408974729,64.0123,1.999,2.015
2023-10-16,511260.SH,122.78,122.848,122.75,122.803,515880419,80.6857,2.019,2.015
2023-10-17,511260.SH,122.818,122.818,122.718,122.731,237186991,37.1097,1.996,1.965
2023-10-18,511260.SH,122.75,122.78,122.703,122.704,290391156,45.433,2.034,2.035
2023-10-19,511260.SH,122.703,122.703,122.519,122.519,247755283,38.8111,2.81,2.845
2023-10-20,511260.SH,122.521,122.763,122.521,122.701,244373179,38.279,2.979,2.725
2023-10-23,511260.SH,122.804,122.844,122.746,122.831,244226349,38.1946,2.684,2.645
2023-10-24,511260.SH,122.764,122.765,122.661,122.681,247609887,38.7516,3.015,2.915
2023-10-25,511260.SH,122.659,122.809,122.61,122.799,316997188,49.6243,2.314,2.025
2023-10-26,511260.SH,122.828,122.888,122.81,122.831,210775878,32.9492,1.955,1.865
2023-10-27,511260.SH,122.831,122.89,122.8,122.841,252445160,39.4737,2.107,2.085
2023-10-30,511260.SH,122.842,122.917,122.822,122.89,299282184,46.7742,3.375,3.36
2023-10-31,511260.SH,122.901,123.12,122.901,123.05,258902058,40.4014,3.069,2.91
2023-11-01,511260.SH,123.06,123.18,123.06,123.176,369526854,57.626,2.527,2.13
2023-11-02,511260.SH,123.181,123.304,123.181,123.297,313785250,48.885,1.84,1.73
2023-11-03,511260.SH,123.3,123.394,123.203,123.285,298212390,46.4707,1.856,1.825
2023-11-06,511260.SH,123.288,123.309,123.162,123.272,319241798,49.7359,1.914,1.87
2023-11-07,511260.SH,123.299,123.418,123.275,123.336,254250988,39.5832,1.896,1.865
2023-11-08,511260.SH,123.319,123.356,123.229,123.344,309932059,48.2704,1.926,1.92
2023-11-09,511260.SH,123.339,123.38,123.307,123.351,271389948,42.2568,1.918,1.905
2023-11-10,511260.SH,123.352,123.402,123.331,123.368,293989712,45.7659,1.958,1.975
2023-11-13,511260.SH,123.365,123.426,123.339,123.423,236498785,36.8059,2.049,2.07
2023-11-14,511260.SH,123.385,123.471,123.329,123.352,247968034,38.5998,2.17,2.165
2023-11-15,511260.SH,123.323,123.399,123.3,123.316,244705341,38.1023,2.222,2.21
2023-11-16,511260.SH,123.317,123.455,123.317,123.414,257023198,40.7775,2.409,2.415
2023-11-17,511260.SH,123.45,123.483,123.4,123.464,288319395,45.7358,2.391,2.39
2023-11-20,511260.SH,123.464,123.478,123.429,123.461,229200496,36.3536,2.34,2.335
2023-11-21,511260.SH,123.461,123.503,123.403,123.488,290469321,46.0668,2.314,2.28
2023-11-22,511260.SH,123.488,123.488,123.419,123.421,266853081,42.3323,2.418,2.445
2023-11-23,511260.SH,123.403,123.403,123.25,123.254,291531429,46.2988,2.466,2.44
2023-11-24,511260.SH,123.262,123.339,123.26,123.272,295555151,46.9343,2.492,2.47
2023-11-27,511260.SH,123.243,123.296,123.2,123.234,307159265,48.8064,2.57,2.47
2023-11-28,511260.SH,123.331,123.347,123.27,123.325,343852663,54.599,2.659,2.64
2023-11-29,511260.SH,123.325,123.368,123.287,123.288,260981055,41.4354,6.244,6.875
2023-11-30,511260.SH,123.288,123.384,123.288,123.332,303799541,48.2248,3.039,2.905
2023-12-01,511260.SH,123.336,123.49,123.336,123.442,327318102,51.928,2.702,2.955
2023-12-04,511260.SH,123.49,123.49,123.35,123.375,301540711,47.8508,2.459,2.385
2023-12-05,511260.SH,123.373,123.391,123.337,123.38,291895424,46.3311,2.225,2.07
2023-12-06,511260.SH,123.378,123.393,123.325,123.335,363426790,57.6814,2.173,2.11
2023-12-07,511260.SH,123.377,123.419,123.311,123.381,358479476,56.8922,2.256,2.265
2023-12-08,511260.SH,123.382,123.462,123.382,123.429,300350572,47.6471,2.488,2.6
2023-12-11,511260.SH,123.488,123.688,123.488,123.657,413856426,65.5557,2.531,2.47
2023-12-12,511260.SH,123.66,123.725,123.572,123.598,536786102,85.0269,2.354,2.22
2023-12-13,511260.SH,123.648,123.926,123.648,123.75,366250126,57.9673,2.206,2.15
2023-12-14,511260.SH,123.752,123.82,123.717,123.741,415338616,65.7092,2.144,2.105
2023-12-15,511260.SH,123.741,123.823,123.702,123.82,316373245,50.0499,2.192,2.19
2023-12-18,511260.SH,123.87,123.923,123.84,123.905,310244763,49.0375,2.38,2.405
2023-12-19,511260.SH,123.881,123.939,123.836,123.917,308250717,48.7222,2.438,2.435
2023-12-20,511260.SH,123.917,123.917,123.86,123.871,439228781,69.439,2.321,2.22
2023-12-21,511260.SH,123.86,124.011,123.803,123.926,181293507,28.6615,2.232,2.165
2023-12-22,511260.SH,124,124.064,123.975,124.018,66575769,10.5101,2.486,2.415
2023-12-25,511260.SH,124.051,124.14,123.993,124.12,404004880,63.7775,2.571,2.395
2023-12-26,511260.SH,124.164,124.25,124.13,124.178,333906151,52.6564,2.758,2.705
2023-12-27,511260.SH,124.228,124.321,124.222,124.276,363941565,57.3544,3.333,3.31
2023-12-28,511260.SH,124.34,124.468,124.158,124.276,79232879,12.9909,4.137,3.635
2023-12-29,511260.SH,124.324,124.515,124.324,124.502,430539913,72.0006,2.778,2.345
2024-01-02,511260.SH,124.547,124.731,124.414,124.73,333102286,55.6413,2.577,2.74
2024-01-03,511260.SH,124.715,124.749,124.401,124.411,496572840,83.0084,2.583,2.625
2024-01-04,511260.SH,124.461,124.68,124.45,124.659,38256825,6.134,2.454,2.395
2024-01-05,511260.SH,124.661,125.019,124.561,125.017,44213989,6.9402,2.288,2.21
2024-01-08,511260.SH,125.004,125.123,124.791,124.83,326915565,49.7199,2.306,2.325
2024-01-09,511260.SH,124.815,125,124.789,124.982,102938596,15.3049,2.26,2.23
2024-01-10,511260.SH,124.995,124.995,124.88,124.941,209353378,31.1185,2.211,2.175
2024-01-11,511260.SH,124.884,124.927,124.784,124.862,487732589,72.5332,2.16,2.1
2024-01-12,511260.SH,124.852,124.922,124.711,124.729,343636474,51.1371,2.239,2.275
2024-01-15,511260.SH,124.71,124.753,124.673,124.748,519790008,74.5925,2.263,2.215
2024-01-16,511260.SH,124.748,124.768,124.697,124.711,306536659,43.9953,2.507,2.625
2024-01-17,511260.SH,124.71,124.859,124.691,124.858,642124832,92.1257,2.559,2.515
2024-01-18,511260.SH,124.878,125.246,124.876,124.95,159629101,22.6282,2.258,2.195
2024-01-19,511260.SH,124.94,125.055,124.902,125.016,221137187,31.3362,2.118,1.975
2024-01-22,511260.SH,125.064,125.245,124.905,125.127,195069105,25.7901,2.125,2.065
2024-01-23,511260.SH,125.136,125.156,125,125.066,219746703,28.1278,2.128,2.055
2024-01-24,511260.SH,125.045,125.148,124.989,125.079,376939132,46.7511,2.421,2.545
2024-01-25,511260.SH,125.045,125.11,124.956,125.089,273798787,33.9611,2.635,2.55
2024-01-26,511260.SH,125.19,125.225,125.086,125.18,202393317,24.3302,2.5,2.36
2024-01-29,511260.SH,125.162,125.3,125.142,125.25,690060507,80.4893,2.325,2.25
2024-01-30,511260.SH,125.375,126,125.375,125.599,239726375,27.9018,2.701,2.81
2024-01-31,511260.SH,125.891,125.9,125.655,125.804,391155386,44.1311,2.38,2.185
2024-02-01,511260.SH,125.819,125.919,125.732,125.817,752841516,84.8055,2.277,2.195
2024-02-02,511260.SH,125.817,125.817,125.733,125.79,480761655,52.6728,2.327,2.3
2024-02-05,511260.SH,126.234,126.234,125.79,125.985,130080630,13.8483,2.283,2.255
2024-02-06,511260.SH,125.96,125.966,125.594,125.657,117794821,12.5555,2.289,2.17
2024-02-07,511260.SH,125.58,125.764,125.259,125.727,167792205,17.9052,2.06,1.77
2024-02-08,511260.SH,126.008,126.008,125.707,125.9,411511915,43.8557,2.257,1.975
2024-02-19,511260.SH,125.898,125.975,125.768,125.923,261802148,27.8831,2.045,1.96
2024-02-20,511260.SH,125.921,126.08,125.877,126.009,315763081,32.7408,1.935,1.885
2024-02-21,511260.SH,126.059,126.101,125.991,126.094,432065385,44.7698,1.941,1.925
2024-02-22,511260.SH,126.1,126.109,126.034,126.071,335528088,34.7587,1.925,1.895
2024-02-23,511260.SH,126.267,126.267,126.011,126.252,451614136,46.7537,2.017,2.04
2024-02-26,511260.SH,126.254,126.382,126.224,126.353,301361920,31.1722,2.034,2.015
2024-02-27,511260.SH,126.575,126.579,126.448,126.54,306659548,31.6581,2.046,2.025
2024-02-28,511260.SH,126.436,126.9,126.426,126.702,300504925,31.0037,2.375,2.385
2024-02-29,511260.SH,126.719,126.969,126.719,126.904,248038906,24.263,2.003,1.91
2024-03-01,511260.SH,126.69,126.949,126.4,126.438,147228960,14.086,1.98,1.96
2024-03-04,511260.SH,126.47,126.609,126.371,126.596,224485284,20.9744,1.986,1.965
2024-03-05,511260.SH,126.603,126.662,126.581,126.623,388077561,36.2438,2.008,2
2024-03-06,511260.SH,127.018,127.03,126.801,127.027,362653284,33.7807,1.971,1.935
2024-03-07,511260.SH,127.306,127.364,126.901,127.161,280688862,26.0973,1.929,1.885
2024-03-08,511260.SH,127.178,127.251,127.101,127.132,364606390,33.129,1.944,1.935
2024-03-11,511260.SH,127.131,127.174,127,127.005,67363017,6.1237,1.911,1.86
2024-03-12,511260.SH,126.884,126.884,126.505,126.52,415199540,37.0368,1.9,1.845
2024-03-13,511260.SH,126.503,126.503,126.054,126.47,225013115,20.1129,2.011,2.045
2024-03-14,511260.SH,126.521,126.579,126.303,126.428,502021540,44.8337,1.966,1.91
2024-03-15,511260.SH,126.522,126.619,126.45,126.574,418326201,37.3229,1.93,1.91
2024-03-18,511260.SH,126.633,126.692,126.606,126.681,1033253247,92.103,1.939,1.92
2024-03-19,511260.SH,126.829,126.976,126.752,126.965,95743471,8.5248,1.943,1.935
2024-03-20,511260.SH,126.899,126.923,126.805,126.826,444612457,39.5778,2.043,2.055
2024-03-21,511260.SH,126.8,126.873,126.6,126.826,395166579,35.1764,2.089,2.045
2024-03-22,511260.SH,127.02,127.02,126.789,126.82,266464029,23.7193,2.037,1.97
2024-03-25,511260.SH,126.777,126.79,126.579,126.645,290375069,25.8827,2.115,2.1
2024-03-26,511260.SH,126.662,126.704,126.612,126.664,309023983,27.5515,2.178,2.18
2024-03-27,511260.SH,126.686,126.77,126.631,126.75,101350015,9.034,2.717,2.815
2024-03-28,511260.SH,126.875,126.91,126.75,126.773,40275445,3.5861,4.559,4.72
2024-03-29,511260.SH,126.783,126.934,126.715,126.914,354547315,31.5599,2.912,2.34
2024-04-01,511260.SH,126.839,126.841,126.719,126.762,337192945,30.0378,2.262,2.265
2024-04-02,511260.SH,126.818,126.841,126.762,126.816,556729647,49.5749,1.923,1.725
